data_date,avg_rainfall,grid_count
2018-01-27,0.00,43
2018-01-28,5.16,43
2018-01-29,5.66,43
2018-01-30,2.69,43
2018-01-31,17.07,43
2018-02-01,4.10,43
2018-02-02,0.64,43
2018-02-03,8.40,43
2018-02-04,4.64,43
2018-02-05,7.66,43
2018-02-06,0.00,43
2018-02-07,4.91,43
2018-02-08,4.46,43
2018-02-09,2.33,43
2018-02-10,2.05,43
2018-02-11,2.17,43
2018-02-12,0.00,43
2018-02-13,0.00,43
2018-02-14,0.00,43
2018-02-15,0.00,43
2018-02-16,0.00,43
2018-02-17,0.00,43
2018-02-18,0.00,43
2018-02-19,0.00,43
2018-02-20,0.00,43
2018-02-21,0.10,43
2018-02-22,23.59,43
2018-02-23,0.00,43
2018-02-24,0.00,43
2018-02-25,4.11,43
2018-02-26,0.00,43
2018-02-27,0.00,43
2018-02-28,6.18,43
2018-03-01,0.00,43
2018-03-02,0.00,43
2018-03-03,0.00,43
2018-03-04,0.00,43
2018-03-05,0.00,43
2018-03-06,0.00,43
2018-03-07,0.12,43
2018-03-08,19.99,43
2018-03-09,0.00,43
2018-03-10,0.00,43
2018-03-11,0.00,43
2018-03-12,0.00,43
2018-03-13,0.00,43
2018-03-14,0.00,43
2018-03-15,6.02,43
2018-03-16,0.00,43
2018-03-17,0.00,43
2018-03-18,0.00,43
2018-03-19,0.00,43
2018-03-20,28.02,43
2018-03-21,0.00,43
2018-03-22,0.00,43
2018-03-23,0.00,43
2018-03-24,0.00,43
2018-03-25,0.00,43
2018-03-26,0.00,43
2018-03-27,0.00,43
2018-03-28,0.00,43
2018-03-29,0.00,43
2018-03-30,0.00,43
2018-03-31,0.00,43
2018-04-01,0.00,43
2018-04-02,0.00,43
2018-04-03,0.00,43
2018-04-04,0.00,43
2018-04-05,0.00,43
2018-04-06,0.00,43
2018-04-07,1.59,43
2018-04-08,0.00,43
2018-04-09,0.00,43
2018-04-10,0.00,43
2018-04-11,0.00,43
2018-04-12,4.91,43
2018-04-13,0.00,43
2018-04-14,0.93,43
2018-04-15,19.55,43
2018-04-16,6.21,43
2018-04-17,13.54,43
2018-04-18,0.00,43
2018-04-19,0.00,43
2018-04-20,0.00,43
2018-04-21,0.00,43
2018-04-22,0.00,43
2018-04-23,0.00,43
2018-04-24,11.55,43
2018-04-25,0.00,43
2018-04-26,0.00,43
2018-04-27,0.00,43
2018-04-28,0.00,43
2018-04-29,0.00,43
2018-04-30,0.00,43
2018-05-01,0.00,43
2018-05-02,0.00,43
2018-05-03,0.42,43
2018-05-04,0.00,43
2018-05-05,0.00,43
2018-05-06,0.00,43
2018-05-07,0.00,43
2018-05-08,50.40,43
2018-05-09,5.64,43
2018-05-10,0.00,43
2018-05-11,0.00,43
2018-05-12,0.00,43
2018-05-13,0.00,43
2018-05-14,0.00,43
2018-05-15,0.00,43
2018-05-16,0.00,43
2018-05-17,0.00,43
2018-05-18,0.00,43
2018-05-19,0.00,43
2018-05-20,0.00,43
2018-05-21,0.00,43
2018-05-22,0.00,43
2018-05-23,0.00,43
2018-05-24,0.00,43
2018-05-25,0.00,43
2018-05-26,0.00,43
2018-05-27,0.00,43
2018-05-28,0.00,43
2018-05-29,0.21,43
2018-05-30,0.00,43
2018-05-31,0.00,43
2018-06-01,1.32,43
2018-06-02,0.00,43
2018-06-03,0.00,43
2018-06-04,0.00,43
2018-06-05,0.19,43
2018-06-06,0.00,43
2018-06-07,0.00,43
2018-06-08,0.00,43
2018-06-09,0.00,43
2018-06-10,0.00,43
2018-06-11,2.74,43
2018-06-12,0.00,43
2018-06-13,0.00,43
2018-06-14,0.00,43
2018-06-15,5.55,43
2018-06-16,0.00,43
2018-06-17,37.85,43
2018-06-18,0.87,43
2018-06-19,0.70,43
2018-06-20,0.00,43
2018-06-21,0.07,43
2018-06-22,0.00,43
2018-06-23,0.21,43
2018-06-24,0.00,43
2018-06-25,0.00,43
2018-06-26,0.00,43
2018-06-27,0.00,43
2018-06-28,0.00,43
2018-06-29,0.24,43
2018-06-30,5.05,43
2018-07-01,0.00,43
2018-07-02,0.00,43
2018-07-03,0.00,43
2018-07-04,0.00,43
2018-07-05,0.00,43
2018-07-06,0.00,43
2018-07-07,8.58,43
2018-07-08,0.00,43
2018-07-09,0.00,43
2018-07-10,16.09,43
2018-07-11,31.44,43
2018-07-12,0.17,43
2018-07-13,0.00,43
2018-07-14,0.00,43
2018-07-15,0.00,43
2018-07-16,0.00,43
2018-07-17,0.00,43
2018-07-18,0.00,43
2018-07-19,0.00,43
2018-07-20,0.00,43
2018-07-21,4.79,43
2018-07-22,1.20,43
2018-07-23,0.00,43
2018-07-24,0.00,43
2018-07-25,0.00,43
2018-07-26,0.00,43
2018-07-27,0.15,43
2018-07-28,0.02,43
2018-07-29,0.00,43
2018-07-30,0.00,43
2018-07-31,0.00,43
2018-08-01,0.00,43
2018-08-02,0.00,43
2018-08-03,0.00,43
2018-08-04,0.03,43
2018-08-05,0.00,43
2018-08-06,1.04,43
2018-08-07,0.00,43
2018-08-08,0.00,43
